"EVENTO","AREA/ZONA","CENTRO DE COSTO","ITEM","DESCRIPCION","NOTAS/OBSERVACIONES","IN-KIND?","AURORA 360?","QTY","UoM","CONTRATACION POR DIAS?","QTY DIAS","PRECIO UNITARIO","SUBTOTAL","VIA PRODUCTORA (AURORA 360)?","FEE INCL. EN COTIZACION?","FEE 20%","SUBTOTAL CON FEE","IVA","TOTAL","COTIZACION","IMAGEN DE REFERENCIA","PROVEEDOR","VALIDAR COSTO?","CONTRATAR APARTE?","COTIZACION LINK","EXENTO IVA?"
"MAIN EVENT","INGRESO ESEN Y PARQUEO","STAFF","GESTORES VMT","GESTORES DE TRAFICO DE APOYO PARA EVITAR CONGESTION EN INGRESO ESEN","SE DEBE CONTEMPLAR COSTO DEL SERVICIO CIVIL Y ALIMENTOS PARA VTM. PUEDE QUE SEA IN-KIND Y SOLO CORRERIAMOS CON ALIMENTOS.","SI","NO","7","PERSONA","SI","2","0","0","NO","NO","0","0","0","0","NA","","","NO","NO","","NO"
"MAIN EVENT","INGRESO ESEN Y PARQUEO","STAFF","BOUNCER EN PLUMA (3 HORAS DE SERVICIO)","","CONTRATADO VIA AURORA360.","NO","SI","2","PERSONA","SI","2","111.11","444.44","SI","NO","88.888","533.328","69.33264","602.66064","PENDING","","","SI","SI","","NO"
"MAIN EVENT","INGRESO ESEN Y PARQUEO","VOLUNTARIOS","LEAD VOLUNTARIO EN PLUMA","","","SI","NO","1","PERSONA","SI","2","0","0","NO","NO","0","0","0","0","VOLUNTARIO","","C2 LABS","NO","NO","","NO"
"MAIN EVENT","INGRESO ESEN Y PARQUEO","VOLUNTARIOS","VOLUNTARIOS UBICANDO PARQUEOS","","","SI","NO","8","PERSONA","SI","2","0","0","NO","NO","0","0","0","0","VOLUNTARIO","","C2 LABS","NO","NO","","NO"
"MAIN EVENT","INGRESO ESEN Y PARQUEO","SEÑALETICA","ESTRUCTURA Y BANDEROLAS PUBLICITARIAS","PARA EXTERIOR, COMO GUIA EN LA CALLE PRINCIPAL FRENTE A LA ENTRADA DE LA ESEN","SE DEBERAN CONTRATAR POR APARTE PARA OBVIAR AGENCY FEE.","NO","SI","4","PERSONA","NO","1","65","260","SI","SI","0","260","33.800000000000004","293.8","PENDING","","","SI","SI","","NO"
"MAIN EVENT","RIDE SHARE/DROP-OFF ZONE","PRODUCCIÓN Y MONTAJE","MUPPIES DIGITALES (DIMENSIONES TBD)","","","NO","SI","2","UNIDAD","NO","1","420","840","SI","SI","0","840","109.2","949.2","PENDING","","","SI","SI","","NO"
"MAIN EVENT","RIDE SHARE/DROP-OFF ZONE","VOLUNTARIOS","GREETERS","","","SI","NO","2","PERSONA","SI","2","0","0","NO","NO","0","0","0","0","VOLUNTARIO","","C2 LABS","NO","NO","","NO"
"MAIN EVENT","INGRESO 1 via DROP OFF ZONE","VOLUNTARIOS","FOOT TRAFFIC MANAGERS","","","SI","NO","2","PERSONA","SI","2","0","0","NO","NO","0","0","0","0","VOLUNTARIO","","C2 LABS","NO","NO","","NO"
"MAIN EVENT","INGRESO 1 via DROP OFF ZONE","SEÑALETICA","HANDHELD PADEL SIGNS","","SE DEBERAN CONTRATAR CON UNA IMPRENTA DIRECTAMENTE PARA OBVIAR AGENCY FEE.","NO","SI","2","UNIDAD","NO","1","1.45","2.9","SI","NO","0.58","3.48","0.4524","3.9324","PENDING","","","NO","NO","","NO"
"MAIN EVENT","INGRESO 1 via DROP OFF ZONE","VOLUNTARIOS","QUEUE MANAGERS","","","SI","NO","2","PERSONA","SI","2","0","0","NO","NO","0","0","0","0","VOLUNTARIO","","C2 LABS","NO","NO","","NO"
"MAIN EVENT","INGRESO 1 via DROP OFF ZONE","MOBILIARIO","UNIFILAS PARA QUEUE","","CONTRATADO VIA AURORA360.","NO","SI","6","UNIDAD","SI","2","8","96","SI","SI","0","96","12.48","108.48","A2 - AURORA 360","","AURORA 360","NO","NO","https://drive.google.com/file/d/1lnFJ0911-iRZCkgv6HoYI6zSvt016T90/view","NO"
